order,kind,configuration,window,model_version,client,node,record_version,protection_context,source_window,delivered,update_id,source_update_id,source_generation,target_generation,handoff_attempt_id,retrained
91,handoff_confirm,C2,sid-7,v1,-,-,2,ctx-C2-1,-,true,-,-,0,1,h-C2-sid-7,false
92,client_update,C2,sid-7,v1,late-sid-7,-,2,ctx-C2-1,-,true,upd-late-sid-7,-,1,-,-,false
93,erase_receipt,C1,sid-7,-,-,-,-,-,-,true,-,-,0,-,h-C2-sid-7,false
94,client_update,C2,sid-7,v1,late-sid-7,-,3,ctx-C2-1,-,true,upd-late-sid-7,-,1,-,-,false
95,client_resubmit,C2,sid-7-reroute,v1,late-sid-7,-,1,ctx-C2-1,sid-7,true,upd-reroute-sid-7,upd-late-sid-7,-,-,-,false
96,window_finalize,C2,sid-7,v1,-,-,2,ctx-C2-1,-,true,-,-,-,-,-,false
97,erase_receipt,C2,sid-7,-,-,-,-,-,-,true,-,-,1,-,-,false
98,window_finalize,C2,sid-7-reroute,v1,-,-,1,ctx-C2-1,-,true,-,-,-,-,-,false
99,erase_receipt,C2,sid-7-reroute,-,-,-,-,-,-,true,-,-,0,-,-,false
100,message_deliver,C2,sid-4,v1,-,-,1,-,-,true,-,-,-,-,-,false
101,node_recover,C2,-,-,-,p1,2,-,-,true,-,-,-,-,-,false
102,node_release,C2,-,-,-,p2,-,-,-,true,-,-,-,-,-,false
103,client_update,C2,sid-8,v2,u-sid-8-0,-,1,ctx-C2-0,-,true,upd-sid-8-u-sid-8-0,-,-,-,-,false
104,client_update,C2,sid-8,v2,u-sid-8-1,-,1,ctx-C2-0,-,true,upd-sid-8-u-sid-8-1,-,-,-,-,false
105,window_finalize,-,sid-8,v2,-,-,1,-,-,true,-,-,-,-,-,false
106,erase_receipt,C2,sid-8,-,-,-,-,-,-,true,-,-,0,-,-,false
107,client_update,C2,sid-9,v2,u-sid-9-0,-,1,ctx-C2-0,-,true,upd-sid-9-u-sid-9-0,-,-,-,-,false
108,client_update,C2,sid-9,v2,u-sid-9-1,-,1,ctx-C2-0,-,true,upd-sid-9-u-sid-9-1,-,-,-,-,false
109,client_update,C2,sid-10,v2,u-sid-10-0,-,1,ctx-C2-0,-,true,upd-sid-10-u-sid-10-0,-,-,-,-,false
110,client_update,C2,sid-10,v2,u-sid-10-1,-,1,ctx-C2-0,-,true,upd-sid-10-u-sid-10-1,-,-,-,-,false
111,client_update,C2,sid-11,v2,u-sid-11-0,-,1,ctx-C2-0,-,true,upd-sid-11-u-sid-11-0,-,-,-,-,false
112,client_update,C2,sid-11,v2,u-sid-11-1,-,1,ctx-C2-0,-,true,upd-sid-11-u-sid-11-1,-,-,-,-,false
113,window_finalize,-,sid-9,v2,-,-,1,-,-,true,-,-,-,-,-,false
114,erase_receipt,C2,sid-9,-,-,-,-,-,-,true,-,-,0,-,-,false
115,window_finalize,-,sid-10,v2,-,-,1,-,-,true,-,-,-,-,-,false
116,erase_receipt,C2,sid-10,-,-,-,-,-,-,true,-,-,0,-,-,false
117,window_finalize,-,sid-11,v2,-,-,1,-,-,true,-,-,-,-,-,false
118,erase_receipt,C2,sid-11,-,-,-,-,-,-,true,-,-,0,-,-,false
