protocol,trial,violated,stale_repair_accepts,finality_latency,messages,retained_capabilities,post_finality_openings
fgsr,37,0,0,10,6,0,0
unfenced,37,1,6,10,6,7,2
vssr,37,1,6,10,6,13,2
epoch,37,0,0,16,6,0,0
fgsr,38,0,0,10,6,0,0
unfenced,38,1,6,10,6,7,2
vssr,38,1,6,10,6,13,2
epoch,38,0,0,16,6,0,0
fgsr,39,0,0,9,5,0,0
unfenced,39,1,5,9,5,7,2
vssr,39,1,5,9,5,12,2
epoch,39,0,0,16,5,0,0
fgsr,40,0,0,9,6,0,0
unfenced,40,1,6,9,6,7,2
vssr,40,1,6,9,6,13,2
epoch,40,0,0,16,6,0,0
fgsr,41,0,0,7,6,0,0
unfenced,41,1,6,7,6,7,2
vssr,41,1,6,7,6,13,2
epoch,41,0,0,16,6,0,0
fgsr,42,0,0,10,6,0,0
unfenced,42,1,6,10,6,7,2
vssr,42,1,6,10,6,13,2
epoch,42,0,0,16,6,0,0
fgsr,43,0,0,10,6,0,0
unfenced,43,1,6,10,6,7,2
vssr,43,1,6,10,6,13,2
epoch,43,0,0,16,6,0,0
fgsr,44,0,0,10,6,0,0
unfenced,44,1,6,10,6,7,2
vssr,44,1,6,10,6,13,2
epoch,44,0,0,16,6,0,0
fgsr,45,0,0,10,7,0,0
unfenced,45,1,7,10,7,7,2
vssr,45,1,7,10,7,14,2
epoch,45,0,0,16,7,0,0
fgsr,46,0,0,9,6,0,0
unfenced,46,1,6,9,6,7,2
vssr,46,1,6,9,6,13,2
epoch,46,0,0,16,6,0,0
fgsr,47,0,0,8,6,0,0
unfenced,47,1,6,8,6,7,2
vssr,47,1,6,8,6,13,2
epoch,47,0,0,16,6,0,0
fgsr,48,0,0,8,5,0,0
unfenced,48,1,5,8,5,7,2
vssr,48,1,5,8,5,12,2
epoch,48,0,0,16,5,0,0
fgsr,49,0,0,9,6,0,0
unfenced,49,1,6,9,6,7,2
vssr,49,1,6,9,6,13,2
epoch,49,0,0,16,6,0,0
