protocol,trial,violated,stale_repair_accepts,finality_latency,messages,retained_capabilities,post_finality_openings
unfenced,187,1,8,22,8,10,3
vssr,187,1,8,22,8,18,3
epoch,187,0,0,40,8,0,0
fgsr,188,0,0,22,8,0,0
unfenced,188,1,8,22,8,10,3
vssr,188,1,8,22,8,18,3
epoch,188,0,0,40,8,0,0
fgsr,189,0,0,18,7,0,0
unfenced,189,1,7,18,7,10,3
vssr,189,1,7,18,7,17,3
epoch,189,0,0,40,7,0,0
fgsr,190,0,0,21,10,0,0
unfenced,190,1,10,21,10,10,3
vssr,190,1,10,21,10,20,3
epoch,190,0,0,40,10,0,0
fgsr,191,0,0,21,9,0,0
unfenced,191,1,9,21,9,10,3
vssr,191,1,9,21,9,19,3
epoch,191,0,0,40,9,0,0
fgsr,192,0,0,22,8,0,0
unfenced,192,1,8,22,8,10,3
vssr,192,1,8,22,8,18,3
epoch,192,0,0,40,8,0,0
fgsr,193,0,0,22,8,0,0
unfenced,193,1,8,22,8,10,3
vssr,193,1,8,22,8,18,3
epoch,193,0,0,40,8,0,0
fgsr,194,0,0,22,8,0,0
unfenced,194,1,8,22,8,10,3
vssr,194,1,8,22,8,18,3
epoch,194,0,0,40,8,0,0
fgsr,195,0,0,22,9,0,0
unfenced,195,1,9,22,9,10,3
vssr,195,1,9,22,9,19,3
epoch,195,0,0,40,9,0,0
fgsr,196,0,0,20,7,0,0
unfenced,196,1,7,20,7,10,3
vssr,196,1,7,20,7,17,3
epoch,196,0,0,40,7,0,0
fgsr,197,0,0,21,8,0,0
unfenced,197,1,8,21,8,10,3
vssr,197,1,8,21,8,18,3
epoch,197,0,0,40,8,0,0
fgsr,198,0,0,21,9,0,0
unfenced,198,1,9,21,9,10,3
vssr,198,1,9,21,9,19,3
epoch,198,0,0,40,9,0,0
fgsr,199,0,0,22,9,0,0
unfenced,199,1,9,22,9,10,3
vssr,199,1,9,22,9,19,3
epoch,199,0,0,40,9,0,0
