protocol,trial,violated,stale_repair_accepts,finality_latency,messages,retained_capabilities,post_finality_openings
fgsr,37,0,0,21,7,0,0
unfenced,37,1,7,21,7,10,3
vssr,37,1,7,21,7,17,3
epoch,37,0,0,40,7,0,0
fgsr,38,0,0,20,7,0,0
unfenced,38,1,7,20,7,10,3
vssr,38,1,7,20,7,17,3
epoch,38,0,0,40,7,0,0
fgsr,39,0,0,18,10,0,0
unfenced,39,1,10,18,10,10,3
vssr,39,1,10,18,10,20,3
epoch,39,0,0,40,10,0,0
fgsr,40,0,0,22,6,0,0
unfenced,40,1,6,22,6,10,3
vssr,40,1,6,22,6,16,3
epoch,40,0,0,40,6,0,0
fgsr,41,0,0,19,7,0,0
unfenced,41,1,7,19,7,10,3
vssr,41,1,7,19,7,17,3
epoch,41,0,0,40,7,0,0
fgsr,42,0,0,20,8,0,0
unfenced,42,1,8,20,8,10,3
vssr,42,1,8,20,8,18,3
epoch,42,0,0,40,8,0,0
fgsr,43,0,0,22,9,0,0
unfenced,43,1,9,22,9,10,3
vssr,43,1,9,22,9,19,3
epoch,43,0,0,40,9,0,0
fgsr,44,0,0,18,8,0,0
unfenced,44,1,8,18,8,10,3
vssr,44,1,8,18,8,18,3
epoch,44,0,0,40,8,0,0
fgsr,45,0,0,22,8,0,0
unfenced,45,1,8,22,8,10,3
vssr,45,1,8,22,8,18,3
epoch,45,0,0,40,8,0,0
fgsr,46,0,0,22,10,0,0
unfenced,46,1,10,22,10,10,3
vssr,46,1,10,22,10,20,3
epoch,46,0,0,40,10,0,0
fgsr,47,0,0,21,7,0,0
unfenced,47,1,7,21,7,10,3
vssr,47,1,7,21,7,17,3
epoch,47,0,0,40,7,0,0
fgsr,48,0,0,22,9,0,0
unfenced,48,1,9,22,9,10,3
vssr,48,1,9,22,9,19,3
epoch,48,0,0,40,9,0,0
fgsr,49,0,0,22,8,0,0
unfenced,49,1,8,22,8,10,3
vssr,49,1,8,22,8,18,3
epoch,49,0,0,40,8,0,0
fgsr,50,0,0,20,10,0,0
unfenced,50,1,10,20,10,10,3
vssr,50,1,10,20,10,20,3
epoch,50,0,0,40,10,0,0
fgsr,51,0,0,21,7,0,0
unfenced,51,1,7,21,7,10,3
vssr,51,1,7,21,7,17,3
epoch,51,0,0,40,7,0,0
fgsr,52,0,0,19,8,0,0
unfenced,52,1,8,19,8,10,3
vssr,52,1,8,19,8,18,3
epoch,52,0,0,40,8,0,0
fgsr,53,0,0,22,8,0,0
unfenced,53,1,8,22,8,10,3
vssr,53,1,8,22,8,18,3
epoch,53,0,0,40,8,0,0
fgsr,54,0,0,22,9,0,0
unfenced,54,1,9,22,9,10,3
vssr,54,1,9,22,9,19,3
epoch,54,0,0,40,9,0,0
fgsr,55,0,0,18,6,0,0
unfenced,55,1,6,18,6,10,3
vssr,55,1,6,18,6,16,3
epoch,55,0,0,40,6,0,0
fgsr,56,0,0,22,10,0,0
unfenced,56,1,10,22,10,10,3
vssr,56,1,10,22,10,20,3
epoch,56,0,0,40,10,0,0
fgsr,57,0,0,22,10,0,0
unfenced,57,1,10,22,10,10,3
vssr,57,1,10,22,10,20,3
epoch,57,0,0,40,10,0,0
fgsr,58,0,0,21,8,0,0
unfenced,58,1,8,21,8,10,3
vssr,58,1,8,21,8,18,3
epoch,58,0,0,40,8,0,0
fgsr,59,0,0,22,9,0,0
unfenced,59,1,9,22,9,10,3
vssr,59,1,9,22,9,19,3
epoch,59,0,0,40,9,0,0
fgsr,60,0,0,21,8,0,0
unfenced,60,1,8,21,8,10,3
vssr,60,1,8,21,8,18,3
epoch,60,0,0,40,8,0,0
fgsr,61,0,0,20,7,0,0
unfenced,61,1,7,20,7,10,3
vssr,61,1,7,20,7,17,3
epoch,61,0,0,40,7,0,0
fgsr,62,0,0,22,9,0,0
unfenced,62,1,9,22,9,10,3
vssr,62,1,9,22,9,19,3
epoch,62,0,0,40,9,0,0
fgsr,63,0,0,20,8,0,0
unfenced,63,1,8,20,8,10,3
vssr,63,1,8,20,8,18,3
epoch,63,0,0,40,8,0,0
fgsr,64,0,0,19,10,0,0
unfenced,64,1,10,19,10,10,3
vssr,64,1,10,19,10,20,3
epoch,64,0,0,40,10,0,0
fgsr,65,0,0,21,8,0,0
unfenced,65,1,8,21,8,10,3
vssr,65,1,8,21,8,18,3
epoch,65,0,0,40,8,0,0
fgsr,66,0,0,21,10,0,0
unfenced,66,1,10,21,10,10,3
vssr,66,1,10,21,10,20,3
epoch,66,0,0,40,10,0,0
fgsr,67,0,0,18,9,0,0
unfenced,67,1,9,18,9,10,3
vssr,67,1,9,18,9,19,3
epoch,67,0,0,40,9,0,0
fgsr,68,0,0,22,8,0,0
unfenced,68,1,8,22,8,10,3
vssr,68,1,8,22,8,18,3
epoch,68,0,0,40,8,0,0
fgsr,69,0,0,21,10,0,0
unfenced,69,1,10,21,10,10,3
vssr,69,1,10,21,10,20,3
epoch,69,0,0,40,10,0,0
fgsr,70,0,0,20,9,0,0
unfenced,70,1,9,20,9,10,3
vssr,70,1,9,20,9,19,3
epoch,70,0,0,40,9,0,0
fgsr,71,0,0,22,9,0,0
unfenced,71,1,9,22,9,10,3
vssr,71,1,9,22,9,19,3
epoch,71,0,0,40,9,0,0
fgsr,72,0,0,22,10,0,0
unfenced,72,1,10,22,10,10,3
vssr,72,1,10,22,10,20,3
epoch,72,0,0,40,10,0,0
fgsr,73,0,0,16,8,0,0
unfenced,73,1,8,16,8,10,3
vssr,73,1,8,16,8,18,3
epoch,73,0,0,40,8,0,0
fgsr,74,0,0,21,9,0,0
unfenced,74,1,9,21,9,10,3
vssr,74,1,9,21,9,19,3
epoch,74,0,0,40,9,0,0
fgsr,75,0,0,22,9,0,0
unfenced,75,1,9,22,9,10,3
vssr,75,1,9,22,9,19,3
epoch,75,0,0,40,9,0,0
fgsr,76,0,0,21,10,0,0
unfenced,76,1,10,21,10,10,3
vssr,76,1,10,21,10,20,3
epoch,76,0,0,40,10,0,0
fgsr,77,0,0,16,9,0,0
unfenced,77,1,9,16,9,10,3
vssr,77,1,9,16,9,19,3
epoch,77,0,0,40,9,0,0
fgsr,78,0,0,20,10,0,0
unfenced,78,1,10,20,10,10,3
vssr,78,1,10,20,10,20,3
epoch,78,0,0,40,10,0,0
fgsr,79,0,0,18,8,0,0
unfenced,79,1,8,18,8,10,3
vssr,79,1,8,18,8,18,3
epoch,79,0,0,40,8,0,0
fgsr,80,0,0,22,8,0,0
unfenced,80,1,8,22,8,10,3
vssr,80,1,8,22,8,18,3
epoch,80,0,0,40,8,0,0
fgsr,81,0,0,22,8,0,0
unfenced,81,1,8,22,8,10,3
vssr,81,1,8,22,8,18,3
epoch,81,0,0,40,8,0,0
fgsr,82,0,0,22,9,0,0
unfenced,82,1,9,22,9,10,3
vssr,82,1,9,22,9,19,3
epoch,82,0,0,40,9,0,0
fgsr,83,0,0,19,10,0,0
unfenced,83,1,10,19,10,10,3
vssr,83,1,10,19,10,20,3
epoch,83,0,0,40,10,0,0
fgsr,84,0,0,20,7,0,0
unfenced,84,1,7,20,7,10,3
vssr,84,1,7,20,7,17,3
epoch,84,0,0,40,7,0,0
fgsr,85,0,0,21,9,0,0
unfenced,85,1,9,21,9,10,3
vssr,85,1,9,21,9,19,3
epoch,85,0,0,40,9,0,0
fgsr,86,0,0,22,10,0,0
unfenced,86,1,10,22,10,10,3
vssr,86,1,10,22,10,20,3
epoch,86,0,0,40,10,0,0
fgsr,87,0,0,21,9,0,0
unfenced,87,1,9,21,9,10,3
vssr,87,1,9,21,9,19,3
epoch,87,0,0,40,9,0,0
fgsr,88,0,0,20,8,0,0
unfenced,88,1,8,20,8,10,3
vssr,88,1,8,20,8,18,3
epoch,88,0,0,40,8,0,0
fgsr,89,0,0,20,7,0,0
unfenced,89,1,7,20,7,10,3
vssr,89,1,7,20,7,17,3
epoch,89,0,0,40,7,0,0
fgsr,90,0,0,22,9,0,0
unfenced,90,1,9,22,9,10,3
vssr,90,1,9,22,9,19,3
epoch,90,0,0,40,9,0,0
fgsr,91,0,0,22,9,0,0
unfenced,91,1,9,22,9,10,3
vssr,91,1,9,22,9,19,3
epoch,91,0,0,40,9,0,0
fgsr,92,0,0,21,8,0,0
unfenced,92,1,8,21,8,10,3
vssr,92,1,8,21,8,18,3
epoch,92,0,0,40,8,0,0
fgsr,93,0,0,20,8,0,0
unfenced,93,1,8,20,8,10,3
vssr,93,1,8,20,8,18,3
epoch,93,0,0,40,8,0,0
fgsr,94,0,0,21,9,0,0
unfenced,94,1,9,21,9,10,3
vssr,94,1,9,21,9,19,3
epoch,94,0,0,40,9,0,0
fgsr,95,0,0,21,7,0,0
unfenced,95,1,7,21,7,10,3
vssr,95,1,7,21,7,17,3
epoch,95,0,0,40,7,0,0
fgsr,96,0,0,21,7,0,0
unfenced,96,1,7,21,7,10,3
vssr,96,1,7,21,7,17,3
epoch,96,0,0,40,7,0,0
fgsr,97,0,0,22,9,0,0
unfenced,97,1,9,22,9,10,3
vssr,97,1,9,22,9,19,3
epoch,97,0,0,40,9,0,0
fgsr,98,0,0,20,8,0,0
unfenced,98,1,8,20,8,10,3
vssr,98,1,8,20,8,18,3
epoch,98,0,0,40,8,0,0
fgsr,99,0,0,18,9,0,0
unfenced,99,1,9,18,9,10,3
vssr,99,1,9,18,9,19,3
epoch,99,0,0,40,9,0,0
fgsr,100,0,0,18,7,0,0
unfenced,100,1,7,18,7,10,3
vssr,100,1,7,18,7,17,3
epoch,100,0,0,40,7,0,0
fgsr,101,0,0,21,8,0,0
unfenced,101,1,8,21,8,10,3
vssr,101,1,8,21,8,18,3
epoch,101,0,0,40,8,0,0
fgsr,102,0,0,16,9,0,0
unfenced,102,1,9,16,9,10,3
vssr,102,1,9,16,9,19,3
epoch,102,0,0,40,9,0,0
fgsr,103,0,0,21,10,0,0
unfenced,103,1,10,21,10,10,3
vssr,103,1,10,21,10,20,3
epoch,103,0,0,40,10,0,0
fgsr,104,0,0,22,9,0,0
unfenced,104,1,9,22,9,10,3
vssr,104,1,9,22,9,19,3
epoch,104,0,0,40,9,0,0
fgsr,105,0,0,21,9,0,0
unfenced,105,1,9,21,9,10,3
vssr,105,1,9,21,9,19,3
epoch,105,0,0,40,9,0,0
fgsr,106,0,0,21,7,0,0
unfenced,106,1,7,21,7,10,3
vssr,106,1,7,21,7,17,3
epoch,106,0,0,40,7,0,0
fgsr,107,0,0,22,6,0,0
unfenced,107,1,6,22,6,10,3
vssr,107,1,6,22,6,16,3
epoch,107,0,0,40,6,0,0
fgsr,108,0,0,21,7,0,0
unfenced,108,1,7,21,7,10,3
vssr,108,1,7,21,7,17,3
epoch,108,0,0,40,7,0,0
fgsr,109,0,0,21,9,0,0
unfenced,109,1,9,21,9,10,3
vssr,109,1,9,21,9,19,3
epoch,109,0,0,40,9,0,0
fgsr,110,0,0,19,6,0,0
unfenced,110,1,6,19,6,10,3
vssr,110,1,6,19,6,16,3
epoch,110,0,0,40,6,0,0
fgsr,111,0,0,22,9,0,0
unfenced,111,1,9,22,9,10,3
vssr,111,1,9,22,9,19,3
epoch,111,0,0,40,9,0,0
fgsr,112,0,0,22,9,0,0
unfenced,112,1,9,22,9,10,3
vssr,112,1,9,22,9,19,3
epoch,112,0,0,40,9,0,0
fgsr,113,0,0,21,8,0,0
unfenced,113,1,8,21,8,10,3
vssr,113,1,8,21,8,18,3
epoch,113,0,0,40,8,0,0
fgsr,114,0,0,19,10,0,0
unfenced,114,1,10,19,10,10,3
vssr,114,1,10,19,10,20,3
epoch,114,0,0,40,10,0,0
fgsr,115,0,0,21,10,0,0
unfenced,115,1,10,21,10,10,3
vssr,115,1,10,21,10,20,3
epoch,115,0,0,40,10,0,0
fgsr,116,0,0,22,8,0,0
unfenced,116,1,8,22,8,10,3
vssr,116,1,8,22,8,18,3
epoch,116,0,0,40,8,0,0
fgsr,117,0,0,22,10,0,0
unfenced,117,1,10,22,10,10,3
vssr,117,1,10,22,10,20,3
epoch,117,0,0,40,10,0,0
fgsr,118,0,0,22,9,0,0
unfenced,118,1,9,22,9,10,3
vssr,118,1,9,22,9,19,3
epoch,118,0,0,40,9,0,0
fgsr,119,0,0,21,9,0,0
unfenced,119,1,9,21,9,10,3
vssr,119,1,9,21,9,19,3
epoch,119,0,0,40,9,0,0
fgsr,120,0,0,22,8,0,0
unfenced,120,1,8,22,8,10,3
vssr,120,1,8,22,8,18,3
epoch,120,0,0,40,8,0,0
fgsr,121,0,0,21,7,0,0
unfenced,121,1,7,21,7,10,3
vssr,121,1,7,21,7,17,3
epoch,121,0,0,40,7,0,0
fgsr,122,0,0,22,9,0,0
unfenced,122,1,9,22,9,10,3
vssr,122,1,9,22,9,19,3
epoch,122,0,0,40,9,0,0
fgsr,123,0,0,22,9,0,0
unfenced,123,1,9,22,9,10,3
vssr,123,1,9,22,9,19,3
epoch,123,0,0,40,9,0,0
fgsr,124,0,0,21,7,0,0
unfenced,124,1,7,21,7,10,3
vssr,124,1,7,21,7,17,3
epoch,124,0,0,40,7,0,0
fgsr,125,0,0,20,8,0,0
unfenced,125,1,8,20,8,10,3
vssr,125,1,8,20,8,18,3
epoch,125,0,0,40,8,0,0
fgsr,126,0,0,20,9,0,0
unfenced,126,1,9,20,9,10,3
vssr,126,1,9,20,9,19,3
epoch,126,0,0,40,9,0,0
fgsr,127,0,0,22,9,0,0
unfenced,127,1,9,22,9,10,3
vssr,127,1,9,22,9,19,3
epoch,127,0,0,40,9,0,0
fgsr,128,0,0,20,9,0,0
unfenced,128,1,9,20,9,10,3
vssr,128,1,9,20,9,19,3
epoch,128,0,0,40,9,0,0
fgsr,129,0,0,17,8,0,0
unfenced,129,1,8,17,8,10,3
vssr,129,1,8,17,8,18,3
epoch,129,0,0,40,8,0,0
fgsr,130,0,0,22,10,0,0
unfenced,130,1,10,22,10,10,3
vssr,130,1,10,22,10,20,3
epoch,130,0,0,40,10,0,0
fgsr,131,0,0,22,9,0,0
unfenced,131,1,9,22,9,10,3
vssr,131,1,9,22,9,19,3
epoch,131,0,0,40,9,0,0
fgsr,132,0,0,19,8,0,0
unfenced,132,1,8,19,8,10,3
vssr,132,1,8,19,8,18,3
epoch,132,0,0,40,8,0,0
fgsr,133,0,0,20,9,0,0
unfenced,133,1,9,20,9,10,3
vssr,133,1,9,20,9,19,3
epoch,133,0,0,40,9,0,0
fgsr,134,0,0,21,9,0,0
unfenced,134,1,9,21,9,10,3
vssr,134,1,9,21,9,19,3
epoch,134,0,0,40,9,0,0
fgsr,135,0,0,18,9,0,0
unfenced,135,1,9,18,9,10,3
vssr,135,1,9,18,9,19,3
epoch,135,0,0,40,9,0,0
fgsr,136,0,0,21,7,0,0
unfenced,136,1,7,21,7,10,3
vssr,136,1,7,21,7,17,3
epoch,136,0,0,40,7,0,0
fgsr,137,0,0,22,9,0,0
unfenced,137,1,9,22,9,10,3
vssr,137,1,9,22,9,19,3
epoch,137,0,0,40,9,0,0
fgsr,138,0,0,22,7,0,0
unfenced,138,1,7,22,7,10,3
vssr,138,1,7,22,7,17,3
epoch,138,0,0,40,7,0,0
fgsr,139,0,0,22,10,0,0
unfenced,139,1,10,22,10,10,3
vssr,139,1,10,22,10,20,3
epoch,139,0,0,40,10,0,0
fgsr,140,0,0,21,9,0,0
unfenced,140,1,9,21,9,10,3
vssr,140,1,9,21,9,19,3
epoch,140,0,0,40,9,0,0
fgsr,141,0,0,21,8,0,0
unfenced,141,1,8,21,8,10,3
vssr,141,1,8,21,8,18,3
epoch,141,0,0,40,8,0,0
fgsr,142,0,0,21,8,0,0
unfenced,142,1,8,21,8,10,3
vssr,142,1,8,21,8,18,3
epoch,142,0,0,40,8,0,0
fgsr,143,0,0,21,8,0,0
unfenced,143,1,8,21,8,10,3
vssr,143,1,8,21,8,18,3
epoch,143,0,0,40,8,0,0
fgsr,144,0,0,22,9,0,0
unfenced,144,1,9,22,9,10,3
vssr,144,1,9,22,9,19,3
epoch,144,0,0,40,9,0,0
fgsr,145,0,0,21,10,0,0
unfenced,145,1,10,21,10,10,3
vssr,145,1,10,21,10,20,3
epoch,145,0,0,40,10,0,0
fgsr,146,0,0,21,9,0,0
unfenced,146,1,9,21,9,10,3
vssr,146,1,9,21,9,19,3
epoch,146,0,0,40,9,0,0
fgsr,147,0,0,20,8,0,0
unfenced,147,1,8,20,8,10,3
vssr,147,1,8,20,8,18,3
epoch,147,0,0,40,8,0,0
fgsr,148,0,0,22,9,0,0
unfenced,148,1,9,22,9,10,3
vssr,148,1,9,22,9,19,3
epoch,148,0,0,40,9,0,0
fgsr,149,0,0,22,7,0,0
unfenced,149,1,7,22,7,10,3
vssr,149,1,7,22,7,17,3
epoch,149,0,0,40,7,0,0
fgsr,150,0,0,21,10,0,0
unfenced,150,1,10,21,10,10,3
vssr,150,1,10,21,10,20,3
epoch,150,0,0,40,10,0,0
fgsr,151,0,0,19,10,0,0
unfenced,151,1,10,19,10,10,3
vssr,151,1,10,19,10,20,3
epoch,151,0,0,40,10,0,0
fgsr,152,0,0,21,10,0,0
unfenced,152,1,10,21,10,10,3
vssr,152,1,10,21,10,20,3
epoch,152,0,0,40,10,0,0
fgsr,153,0,0,20,10,0,0
unfenced,153,1,10,20,10,10,3
vssr,153,1,10,20,10,20,3
epoch,153,0,0,40,10,0,0
fgsr,154,0,0,21,9,0,0
unfenced,154,1,9,21,9,10,3
vssr,154,1,9,21,9,19,3
epoch,154,0,0,40,9,0,0
fgsr,155,0,0,22,8,0,0
unfenced,155,1,8,22,8,10,3
vssr,155,1,8,22,8,18,3
epoch,155,0,0,40,8,0,0
fgsr,156,0,0,21,9,0,0
